date;event ;place ;notes
07/02/2026;winter school holiday ;null;Schools in Kolding closed
08/02/2026;winter school holiday ;null;Schools in Kolding closed
09/02/2026;Winter school holiday ;null;Schools in Kolding closed
10/02/2026;Winter school holiday ;null;Schools in Kolding closed
11/02/2026;Winter school holiday ;null;Schools in Kolding closed
12/02/2026;Winter school holiday ;null;Schools in Kolding closed
13/02/2026;Winter school holiday ;null;Schools in Kolding closed
14/02/2026;Valentine's day ;null;null
14/02/2026;Winter school holiday ;null;Schools in Kolding closed
15/02/2026;Winter school holiday ;null;Schools in Kolding closed
15/02/2026;Fastelavn / Carnival ;null;null
26/02/2026;Election announced ;null;Local campaigns started
08/03/2026;International Womens Day;null;null
24/03/2026;Elections ;null;Centrum Nord + Centrum Syd = 7,963 votes cast
28/03/2026;Easter holiday ;null;Schools in Kolding closed
29/03/2026;Easter holiday ;null;Schools in Kolding closed
30/03/2026;Easter holiday ;null;Schools in Kolding closed
31/03/2026;Easter holiday ;null;Schools in Kolding closed
01/04/2026;Easter holiday ;null;Schools in Kolding closed
02/04/2026;Easter holiday ;null;Schools in Kolding closed
02/04/2026;Maundy Thursday ;null;stores closed
03/04/2026;Easter holiday ;null;Schools in Kolding closed
03/04/2026;Good Friday ;null;stores closed
04/04/2026;Easter holiday ;null;Schools in Kolding closed
05/04/2026;Easter Sunday;null;stores closed
05/04/2026;Easter holiday ;null;Schools in Kolding closed
06/04/2026;Easter holiday ;null;Schools in Kolding closed
06/04/2026;Easter Monday ;null;stores closed
12/04/2026;Trapholt Art Run;Byparken; 11:00
25/04/2026;EWII-lobet 2026;Birkemosevej 1;null
01/05/2026;Labor Day;null;null
06/05/2026;School Olympics;Seest Idraetspark;Students from the 5th year at schools throughout the municipality were gathered.
