name,type,distance_zone,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,public_holiday_open,school_breaks_open,specifics
Beautycos,retail,50-100,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,15:00,closed,closed,closed,normal_hours,beauty store
Kolding Laererkreds,public service,100-200,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,closed,closed,closed,closed,closed,normal_hours,nan
Madkassen,food,50-100,11:00,20:30,11:00,20:30,11:00,20:30,11:00,20:30,11:00,00:00,00:00,05:00,closed,closed,closed,normal_hours,fast food
La ville,food,0-50,closed,closed,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,closed,closed,closed,normal_hours,cafe
Salon salofoni,service,50-100,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,18:00,08:30,13:00,closed,closed,closed,normal_hours,barbershop
Ecco,retail,0-50,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,15:00,closed,closed,closed,normal_hours,shoes
Frellsen,food,0-50,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,16:00,closed,closed,closed,normal_hours,ice cream shop
Radhuset,public service,0-50,10:00,14:00,10:00,14:00,10:00,14:00,10:00,16:30,10:00,14:00,closed,closed,closed,closed,closed,normal_hours,nan
Skagen fiskerestaurant,food,50-100,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,closed,closed,closed,normal_hours,restaurant
Atami,food,50-100,12:00,21:30,12:00,21:30,12:00,21:30,12:00,21:30,12:00,22:00,12:00,22:00,12:00,21:30,closed,normal_hours,restaurant
Stay cafe,food,0-50,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,00:00,10:00,22:00,10:00,22:00,closed,normal_hours,cafe
Valdemar,food,50-100,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,closed,closed,closed,normal_hours,restaurant
Torden,nightclub,0-50,closed,closed,closed,closed,closed,closed,23:00,05:00,12:00,05:00,23:00,05:00,closed,closed,closed,normal_hours,nan
Kolding Bibliotek,public service,500-800,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,closed,normal_hours,nan
Koldinghus,public service,200-500,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,normal_hours,normal_hours,nan
Flip the burger,food,0-50,16:30,20:30,16:30,20:30,16:30,20:30,16:30,20:30,16:30,21:00,16:30,21:00,16:30,20:30,closed,normal_hours,fast food
Borchs Gard Parkeringsplads,parking,50-100,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,normal_hours,normal_hours,nan
Smarteyes,retail,0-50,09:30,17:30,09:30,17:30,09:30,17:30,09:30,17:30,09:30,18:00,09:30,14:00,closed,closed,closed,normal_hours,optician
Bog og Ide,retail,50-100,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,18:00,10:00,14:00,closed,closed,closed,normal_hours,book store
Filurfifi,retail,50-100,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,15:00,closed,closed,closed,normal_hours,nan
Helsam,retail,100-200,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,14:00,closed,closed,closed,normal_hours,nan
Sct. Michaels Skole,school,800-1000,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,closed,closed,closed,closed,closed,closed,nan
Sct. Michaels Bornehave,school,800-1000,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,closed,closed,closed,closed,closed,closed,nan
Kolding School of Design,school,800-1000,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,closed,closed,closed,closed,closed,closed,nan
SDU Kolding,school,800-1000,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,closed,closed,closed,closed,closed,closed,nan
IBA International Business Academy,school,800-1000,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,closed,closed,closed,closed,closed,closed,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
