timestamp,sensor,category,IN,OUT,net_inflow
2026-02-09T01:00:00+01:00,1.1,animal,3,8,-5
2026-02-09T01:00:00+01:00,1.1,bicycle,18,27,-9
2026-02-09T01:00:00+01:00,1.1,car,4,7,-3
2026-02-09T01:00:00+01:00,1.1,light,0,1,-1
2026-02-09T01:00:00+01:00,1.1,motorcycle,1,0,1
2026-02-09T01:00:00+01:00,1.1,pedestrian,282,262,20
2026-02-09T01:00:00+01:00,1.1,pram,7,5,2
2026-02-09T01:00:00+01:00,1.1,scooter,0,3,-3
2026-02-09T01:00:00+01:00,1.1,van,2,1,1
2026-02-09T01:00:00+01:00,1.2,bicycle,13,8,5
2026-02-09T01:00:00+01:00,1.2,car,10,8,2
2026-02-09T01:00:00+01:00,1.2,motorcycle,1,3,-2
2026-02-09T01:00:00+01:00,1.2,pedestrian,480,552,-72
2026-02-09T01:00:00+01:00,1.2,van,2,3,-1
2026-02-09T01:00:00+01:00,2.1,car,3,40,-37
2026-02-09T01:00:00+01:00,2.1,light,2,0,2
2026-02-09T01:00:00+01:00,2.1,van,0,5,-5
2026-02-09T01:00:00+01:00,2.2,bicycle,0,1,-1
2026-02-09T01:00:00+01:00,2.2,car,36,13,23
2026-02-09T01:00:00+01:00,2.2,light,1,0,1
2026-02-09T01:00:00+01:00,2.2,pedestrian,31,36,-5
2026-02-09T01:00:00+01:00,2.2,van,5,1,4
2026-02-10T01:00:00+01:00,1.1,animal,5,7,-2
2026-02-10T01:00:00+01:00,1.1,bicycle,50,62,-12
2026-02-10T01:00:00+01:00,1.1,car,10,22,-12
2026-02-10T01:00:00+01:00,1.1,light,7,12,-5
2026-02-10T01:00:00+01:00,1.1,motorcycle,4,6,-2
2026-02-10T01:00:00+01:00,1.1,pedestrian,882,757,125
2026-02-10T01:00:00+01:00,1.1,pram,15,11,4
2026-02-10T01:00:00+01:00,1.1,scooter,2,1,1
2026-02-10T01:00:00+01:00,1.1,tractor,0,1,-1
2026-02-10T01:00:00+01:00,1.1,truck trailer,0,1,-1
2026-02-10T01:00:00+01:00,1.1,van,10,13,-3
2026-02-10T01:00:00+01:00,1.1,wheelchair,1,1,0
2026-02-10T01:00:00+01:00,1.2,animal,2,0,2
2026-02-10T01:00:00+01:00,1.2,bicycle,31,44,-13
2026-02-10T01:00:00+01:00,1.2,car,60,42,18
2026-02-10T01:00:00+01:00,1.2,light,13,13,0
2026-02-10T01:00:00+01:00,1.2,motorcycle,4,4,0
2026-02-10T01:00:00+01:00,1.2,pedestrian,2168,2379,-211
2026-02-10T01:00:00+01:00,1.2,pram,11,0,11
2026-02-10T01:00:00+01:00,1.2,scooter,2,1,1
2026-02-10T01:00:00+01:00,1.2,van,27,11,16
2026-02-10T01:00:00+01:00,1.2,wheelchair,1,3,-2
2026-02-10T01:00:00+01:00,2.1,car,9,138,-129
2026-02-10T01:00:00+01:00,2.1,light,6,1,5
2026-02-10T01:00:00+01:00,2.1,pedestrian,0,3,-3
2026-02-10T01:00:00+01:00,2.1,van,16,28,-12
2026-02-10T01:00:00+01:00,2.2,animal,1,1,0
2026-02-10T01:00:00+01:00,2.2,bicycle,11,16,-5
2026-02-10T01:00:00+01:00,2.2,car,179,135,44
2026-02-10T01:00:00+01:00,2.2,car trailer,0,1,-1
2026-02-10T01:00:00+01:00,2.2,light,17,2,15
2026-02-10T01:00:00+01:00,2.2,pedestrian,207,227,-20
2026-02-10T01:00:00+01:00,2.2,pram,4,3,1
2026-02-10T01:00:00+01:00,2.2,van,33,26,7
2026-02-10T01:00:00+01:00,3.1,animal,13,3,10
2026-02-10T01:00:00+01:00,3.1,bicycle,27,25,2
2026-02-10T01:00:00+01:00,3.1,car,42,38,4
2026-02-10T01:00:00+01:00,3.1,light,5,6,-1
2026-02-10T01:00:00+01:00,3.1,motorcycle,2,0,2
2026-02-10T01:00:00+01:00,3.1,pedestrian,992,1145,-153
2026-02-10T01:00:00+01:00,3.1,pram,7,10,-3
2026-02-10T01:00:00+01:00,3.1,scooter,1,0,1
2026-02-10T01:00:00+01:00,3.1,van,6,2,4
2026-02-10T01:00:00+01:00,3.1,wheelchair,2,0,2
2026-02-11T01:00:00+01:00,1.1,animal,5,6,-1
2026-02-11T01:00:00+01:00,1.1,bicycle,47,66,-19
2026-02-11T01:00:00+01:00,1.1,car,15,27,-12
2026-02-11T01:00:00+01:00,1.1,car trailer,1,0,1
2026-02-11T01:00:00+01:00,1.1,light,7,12,-5
2026-02-11T01:00:00+01:00,1.1,motorcycle,2,5,-3
2026-02-11T01:00:00+01:00,1.1,pedestrian,825,719,106
2026-02-11T01:00:00+01:00,1.1,pram,14,16,-2
2026-02-11T01:00:00+01:00,1.1,scooter,9,4,5
2026-02-11T01:00:00+01:00,1.1,tractor,0,1,-1
2026-02-11T01:00:00+01:00,1.1,van,11,17,-6
2026-02-11T01:00:00+01:00,1.2,animal,1,4,-3
2026-02-11T01:00:00+01:00,1.2,bicycle,53,58,-5
2026-02-11T01:00:00+01:00,1.2,car,78,43,35
2026-02-11T01:00:00+01:00,1.2,car trailer,0,3,-3
2026-02-11T01:00:00+01:00,1.2,light,15,8,7
2026-02-11T01:00:00+01:00,1.2,motorcycle,2,2,0
2026-02-11T01:00:00+01:00,1.2,pedestrian,2192,2527,-335
2026-02-11T01:00:00+01:00,1.2,pram,12,16,-4
2026-02-11T01:00:00+01:00,1.2,scooter,1,4,-3
2026-02-11T01:00:00+01:00,1.2,van,30,21,9
2026-02-11T01:00:00+01:00,1.2,wheelchair,1,1,0
2026-02-11T01:00:00+01:00,2.1,car,15,151,-136
2026-02-11T01:00:00+01:00,2.1,light,10,5,5
2026-02-11T01:00:00+01:00,2.1,pedestrian,2,5,-3
2026-02-11T01:00:00+01:00,2.1,van,12,38,-26
2026-02-11T01:00:00+01:00,2.2,animal,0,1,-1
2026-02-11T01:00:00+01:00,2.2,bicycle,8,9,-1
2026-02-11T01:00:00+01:00,2.2,bus,1,0,1
2026-02-11T01:00:00+01:00,2.2,car,209,186,23
2026-02-11T01:00:00+01:00,2.2,car trailer,2,0,2
2026-02-11T01:00:00+01:00,2.2,light,22,12,10
2026-02-11T01:00:00+01:00,2.2,pedestrian,184,279,-95
2026-02-11T01:00:00+01:00,2.2,pram,2,4,-2
2026-02-11T01:00:00+01:00,2.2,scooter,1,0,1
2026-02-11T01:00:00+01:00,2.2,van,42,42,0
2026-02-11T01:00:00+01:00,3.1,animal,15,13,2
2026-02-11T01:00:00+01:00,3.1,bicycle,29,31,-2
2026-02-11T01:00:00+01:00,3.1,car,85,112,-27
2026-02-11T01:00:00+01:00,3.1,car trailer,2,0,2
2026-02-11T01:00:00+01:00,3.1,light,11,6,5
2026-02-11T01:00:00+01:00,3.1,motorcycle,1,1,0
2026-02-11T01:00:00+01:00,3.1,pedestrian,1789,1849,-60
2026-02-11T01:00:00+01:00,3.1,pram,19,11,8
2026-02-11T01:00:00+01:00,3.1,scooter,3,3,0
2026-02-11T01:00:00+01:00,3.1,tractor,1,0,1
2026-02-11T01:00:00+01:00,3.1,van,19,31,-12
2026-02-11T01:00:00+01:00,3.1,wheelchair,1,0,1
2026-02-12T01:00:00+01:00,1.1,animal,23,21,2
2026-02-12T01:00:00+01:00,1.1,bicycle,20,42,-22
2026-02-12T01:00:00+01:00,1.1,bus,0,1,-1
2026-02-12T01:00:00+01:00,1.1,car,11,16,-5
2026-02-12T01:00:00+01:00,1.1,light,4,8,-4
2026-02-12T01:00:00+01:00,1.1,motorcycle,2,2,0
2026-02-12T01:00:00+01:00,1.1,pedestrian,665,590,75
2026-02-12T01:00:00+01:00,1.1,pram,2,7,-5
2026-02-12T01:00:00+01:00,1.1,scooter,2,2,0
2026-02-12T01:00:00+01:00,1.1,tractor,1,3,-2
