timestamp,category,IN,OUT,net_inflow
2026-02-09T01:00:00+01:00,animal,3,8,-5
2026-02-09T01:00:00+01:00,bicycle,31,36,-5
2026-02-09T01:00:00+01:00,car,53,68,-15
2026-02-09T01:00:00+01:00,light,3,1,2
2026-02-09T01:00:00+01:00,motorcycle,2,3,-1
2026-02-09T01:00:00+01:00,pedestrian,793,850,-57
2026-02-09T01:00:00+01:00,pram,7,5,2
2026-02-09T01:00:00+01:00,scooter,0,3,-3
2026-02-09T01:00:00+01:00,van,9,10,-1
2026-02-10T01:00:00+01:00,animal,21,11,10
2026-02-10T01:00:00+01:00,bicycle,119,147,-28
2026-02-10T01:00:00+01:00,car,300,375,-75
2026-02-10T01:00:00+01:00,car trailer,0,1,-1
2026-02-10T01:00:00+01:00,light,48,34,14
2026-02-10T01:00:00+01:00,motorcycle,10,10,0
2026-02-10T01:00:00+01:00,pedestrian,4249,4511,-262
2026-02-10T01:00:00+01:00,pram,37,24,13
2026-02-10T01:00:00+01:00,scooter,5,2,3
2026-02-10T01:00:00+01:00,tractor,0,1,-1
2026-02-10T01:00:00+01:00,truck trailer,0,1,-1
2026-02-10T01:00:00+01:00,van,92,80,12
2026-02-10T01:00:00+01:00,wheelchair,4,4,0
2026-02-11T01:00:00+01:00,animal,21,24,-3
2026-02-11T01:00:00+01:00,bicycle,137,164,-27
2026-02-11T01:00:00+01:00,bus,1,0,1
2026-02-11T01:00:00+01:00,car,402,519,-117
2026-02-11T01:00:00+01:00,car trailer,5,3,2
2026-02-11T01:00:00+01:00,light,65,43,22
2026-02-11T01:00:00+01:00,motorcycle,5,8,-3
2026-02-11T01:00:00+01:00,pedestrian,4992,5379,-387
2026-02-11T01:00:00+01:00,pram,47,47,0
2026-02-11T01:00:00+01:00,scooter,14,11,3
2026-02-11T01:00:00+01:00,tractor,1,1,0
2026-02-11T01:00:00+01:00,van,114,149,-35
2026-02-11T01:00:00+01:00,wheelchair,2,1,1
2026-02-12T01:00:00+01:00,animal,42,37,5
2026-02-12T01:00:00+01:00,bicycle,52,67,-15
2026-02-12T01:00:00+01:00,bus,4,2,2
2026-02-12T01:00:00+01:00,car,332,403,-71
2026-02-12T01:00:00+01:00,car trailer,0,1,-1
2026-02-12T01:00:00+01:00,light,34,33,1
2026-02-12T01:00:00+01:00,motorcycle,5,3,2
2026-02-12T01:00:00+01:00,pedestrian,3568,3877,-309
2026-02-12T01:00:00+01:00,pram,6,11,-5
2026-02-12T01:00:00+01:00,scooter,2,4,-2
2026-02-12T01:00:00+01:00,tractor,4,3,1
2026-02-12T01:00:00+01:00,van,91,97,-6
2026-02-12T01:00:00+01:00,wheelchair,2,0,2
2026-02-13T01:00:00+01:00,animal,23,21,2
2026-02-13T01:00:00+01:00,bicycle,80,94,-14
2026-02-13T01:00:00+01:00,bus,1,0,1
2026-02-13T01:00:00+01:00,car,388,486,-98
2026-02-13T01:00:00+01:00,car trailer,5,8,-3
2026-02-13T01:00:00+01:00,light,41,26,15
2026-02-13T01:00:00+01:00,motorcycle,6,9,-3
2026-02-13T01:00:00+01:00,pedestrian,6243,6964,-721
2026-02-13T01:00:00+01:00,pram,24,22,2
2026-02-13T01:00:00+01:00,scooter,4,6,-2
2026-02-13T01:00:00+01:00,tractor,3,3,0
2026-02-13T01:00:00+01:00,truck trailer,0,1,-1
2026-02-13T01:00:00+01:00,van,92,102,-10
2026-02-13T01:00:00+01:00,wheelchair,3,2,1
2026-02-14T01:00:00+01:00,animal,41,42,-1
2026-02-14T01:00:00+01:00,bicycle,94,89,5
2026-02-14T01:00:00+01:00,car,590,705,-115
2026-02-14T01:00:00+01:00,car trailer,1,0,1
2026-02-14T01:00:00+01:00,light,13,9,4
2026-02-14T01:00:00+01:00,motorcycle,4,5,-1
2026-02-14T01:00:00+01:00,pedestrian,7177,7919,-742
2026-02-14T01:00:00+01:00,pram,34,31,3
2026-02-14T01:00:00+01:00,scooter,3,6,-3
2026-02-14T01:00:00+01:00,tractor,1,1,0
2026-02-14T01:00:00+01:00,van,54,53,1
2026-02-15T01:00:00+01:00,animal,23,21,2
2026-02-15T01:00:00+01:00,bicycle,95,97,-2
2026-02-15T01:00:00+01:00,car,318,371,-53
2026-02-15T01:00:00+01:00,car trailer,3,1,2
2026-02-15T01:00:00+01:00,light,4,2,2
2026-02-15T01:00:00+01:00,motorcycle,8,2,6
2026-02-15T01:00:00+01:00,pedestrian,3479,3630,-151
2026-02-15T01:00:00+01:00,pram,28,28,0
2026-02-15T01:00:00+01:00,scooter,12,2,10
2026-02-15T01:00:00+01:00,tractor,1,1,0
2026-02-15T01:00:00+01:00,van,4,5,-1
2026-02-15T01:00:00+01:00,wheelchair,2,1,1
2026-02-16T01:00:00+01:00,animal,28,25,3
2026-02-16T01:00:00+01:00,bicycle,185,177,8
2026-02-16T01:00:00+01:00,bus,1,2,-1
2026-02-16T01:00:00+01:00,car,590,824,-234
2026-02-16T01:00:00+01:00,car trailer,0,2,-2
2026-02-16T01:00:00+01:00,light,39,26,13
2026-02-16T01:00:00+01:00,motorcycle,4,6,-2
2026-02-16T01:00:00+01:00,pedestrian,4040,4498,-458
2026-02-16T01:00:00+01:00,pram,35,26,9
2026-02-16T01:00:00+01:00,scooter,6,4,2
2026-02-16T01:00:00+01:00,tractor,0,1,-1
2026-02-16T01:00:00+01:00,van,96,102,-6
2026-02-16T01:00:00+01:00,wheelchair,6,4,2
2026-02-17T01:00:00+01:00,animal,16,20,-4
2026-02-17T01:00:00+01:00,bicycle,137,130,7
2026-02-17T01:00:00+01:00,bus,1,0,1
2026-02-17T01:00:00+01:00,car,394,532,-138
2026-02-17T01:00:00+01:00,car trailer,5,5,0
2026-02-17T01:00:00+01:00,heavy,1,0,1
2026-02-17T01:00:00+01:00,light,41,19,22
2026-02-17T01:00:00+01:00,motorcycle,23,17,6
2026-02-17T01:00:00+01:00,pedestrian,3782,4023,-241
2026-02-17T01:00:00+01:00,pram,26,29,-3
2026-02-17T01:00:00+01:00,scooter,1,4,-3
2026-02-17T01:00:00+01:00,tractor,2,3,-1
2026-02-17T01:00:00+01:00,van,123,133,-10
2026-02-17T01:00:00+01:00,wheelchair,3,3,0
2026-02-18T01:00:00+01:00,animal,36,44,-8
2026-02-18T01:00:00+01:00,bicycle,105,124,-19
2026-02-18T01:00:00+01:00,bus,0,1,-1
2026-02-18T01:00:00+01:00,car,555,610,-55
2026-02-18T01:00:00+01:00,car trailer,5,3,2
2026-02-18T01:00:00+01:00,light,21,21,0
2026-02-18T01:00:00+01:00,motorcycle,6,10,-4
2026-02-18T01:00:00+01:00,pedestrian,3968,4234,-266
2026-02-18T01:00:00+01:00,pram,43,32,11
2026-02-18T01:00:00+01:00,scooter,1,1,0
2026-02-18T01:00:00+01:00,tractor,2,3,-1
2026-02-18T01:00:00+01:00,truck trailer,2,0,2
2026-02-18T01:00:00+01:00,van,135,130,5
2026-02-18T01:00:00+01:00,wheelchair,4,5,-1
2026-02-19T01:00:00+01:00,animal,40,29,11
2026-02-19T01:00:00+01:00,bicycle,183,210,-27
2026-02-19T01:00:00+01:00,bus,5,3,2
2026-02-19T01:00:00+01:00,car,389,327,62
2026-02-19T01:00:00+01:00,car trailer,6,2,4
2026-02-19T01:00:00+01:00,heavy,1,0,1
2026-02-19T01:00:00+01:00,light,30,20,10
2026-02-19T01:00:00+01:00,motorcycle,22,9,13
2026-02-19T01:00:00+01:00,pedestrian,3673,3680,-7
2026-02-19T01:00:00+01:00,pram,35,37,-2
2026-02-19T01:00:00+01:00,scooter,8,19,-11
2026-02-19T01:00:00+01:00,tractor,2,1,1
2026-02-19T01:00:00+01:00,van,103,96,7
2026-02-19T01:00:00+01:00,wheelchair,2,3,-1
2026-02-20T01:00:00+01:00,animal,34,42,-8
2026-02-20T01:00:00+01:00,bicycle,155,167,-12
2026-02-20T01:00:00+01:00,bus,1,0,1
2026-02-20T01:00:00+01:00,car,723,592,131
2026-02-20T01:00:00+01:00,car trailer,5,5,0
2026-02-20T01:00:00+01:00,light,38,39,-1
2026-02-20T01:00:00+01:00,motorcycle,34,30,4
2026-02-20T01:00:00+01:00,pedestrian,5014,4968,46
2026-02-20T01:00:00+01:00,pram,63,54,9
2026-02-20T01:00:00+01:00,scooter,10,12,-2
2026-02-20T01:00:00+01:00,tractor,4,5,-1
2026-02-20T01:00:00+01:00,truck trailer,1,5,-4
2026-02-20T01:00:00+01:00,van,84,84,0
2026-02-20T01:00:00+01:00,wheelchair,6,4,2
2026-02-21T01:00:00+01:00,animal,70,105,-35
2026-02-21T01:00:00+01:00,bicycle,152,163,-11
2026-02-21T01:00:00+01:00,bus,17,18,-1
2026-02-21T01:00:00+01:00,car,580,512,68
2026-02-21T01:00:00+01:00,car trailer,4,5,-1
2026-02-21T01:00:00+01:00,light,17,23,-6
2026-02-21T01:00:00+01:00,motorcycle,13,13,0
2026-02-21T01:00:00+01:00,pedestrian,5748,6133,-385
2026-02-21T01:00:00+01:00,pram,84,94,-10
2026-02-21T01:00:00+01:00,scooter,13,22,-9
2026-02-21T01:00:00+01:00,van,18,15,3
2026-02-22T01:00:00+01:00,animal,27,67,-40
2026-02-22T01:00:00+01:00,bicycle,50,70,-20
2026-02-22T01:00:00+01:00,bus,1,0,1
