event_category,event_start,event_end,event_datetime,Time,Event URL
Workshop,2025-05-26,2026-09-26,2025-05-26 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18818221
Andet motionstilbud,2025-08-19,2026-05-05,2025-08-19 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19355798
Andet motionstilbud,2025-08-19,2026-05-05,2025-08-19 08:45:00,08.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19352209
Andet motionstilbud,2025-08-20,2026-05-20,2025-08-20 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797921
Andet motionstilbud,2025-08-20,2026-05-20,2025-08-20 18:45:00,18.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797821
Gymnastik/aerobic,2025-08-20,2026-06-17,2025-08-20 18:50:00,18.50,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797871
Andet motionstilbud,2025-08-21,2026-05-07,2025-08-21 15:15:00,15.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868566
Andet motionstilbud,2025-08-22,2026-05-08,2025-08-22 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868511
Undervisning,2025-08-28,2026-04-30,2025-08-28 18:10:00,18.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19351409
Andet motionstilbud,2025-09-01,2026-04-29,2025-09-01 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868779
Andet motionstilbud,2025-09-01,2026-06-01,2025-09-01 12:45:00,12.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19937257
Andet motionstilbud,2025-09-02,2026-04-28,2025-09-02 09:30:00,09:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19100461
Andet motionstilbud,2025-09-02,2026-05-12,2025-09-02 15:45:00,15.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19406806
Andet motionstilbud,2025-09-03,2026-05-06,2025-09-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868476
Undervisning,2025-10-20,2026-06-29,2025-10-20 17:00:00,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19262679
Undervisning,2025-10-22,2026-06-24,2025-10-22 17:00:00,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19262683
Billedkunst,2026-01-01,2026-12-31,2026-01-01 11:00:00,11:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19883092
Historisk,2026-01-02,2026-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176130
Kunsthåndværk,2026-01-02,2026-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176132
Installation,2026-01-02,2026-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176140
Historisk,2026-01-02,2026-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176141
Historisk,2026-01-02,2026-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19384145
Kunsthåndværk,2026-01-02,2027-12-22,2026-01-02 10:00:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18925206
Undervisning,2026-01-05,2026-06-01,2026-01-05 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728058
Gymnastik/aerobic,2026-01-05,2026-06-15,2026-01-05 18:45:00,18.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728689
Undervisning,2026-01-06,2026-05-19,2026-01-06 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728230
Gymnastik/aerobic,2026-01-06,2026-05-26,2026-01-06 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728712
Andet motionstilbud,2026-01-06,2026-06-09,2026-01-06 16:30:00,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728497
Gymnastik/aerobic,2026-01-06,2026-06-16,2026-01-06 11:45:00,11.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728687
