Event Type,Title,Description,Date,Time,Event URL
Workshop Lav selv smykker,Lav selv smykker,"Design dine egne smykker med vores materialeudvalg fra 149,- kr. Tilføj ekstra smukke perler og skab personlige armbånd, øreringe og halskæder. Smykker kan laves hver dag.",Man. 26. maj 2025 til lør. 26. sep. 2026,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18818221
Andet motionstilbud Bevægelse i varmt vand,Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Tir. 19. aug. 2025 til tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19355798
Andet motionstilbud Træning i varmt vand i Vamdrup,Træning i varmt vand i Vamdrup,"Vedligeholdelse og styrke til hele kroppen. Hver gang vil vi træne muskelstyrke, kondition, balance og udspænding. Vi får pulsen lidt op i det dejlige vand.

  Arrangeret af FOF Sydjylland.",Tir. 19. aug. 2025 til tir. 5. maj 2026 33 mødegange,08.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19352209
Andet motionstilbud Bevægelse i varmt vand,Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 20. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797921
Andet motionstilbud Rygtræning i varmt vand,Rygtræning i varmt vand,"For dig med ryglidelser, der ikke kan deltage på et alment hold. Holdet er for dig, som har en alvorlig ryglidelse. Derfor er øvelserne særligt tilrettelagt til den enkelte deltagers handicap-ryglidelse.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 20. maj 2026 34 mødegange,18.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797821
Gymnastik/aerobic Morbus Bechterew,Morbus Bechterew,"Her er øvelserne særligt tilrettelagt i forhold til det handicap, som Morbus Bechterew gigten har forvoldt din krop, så bevægeligheden bevares i kroppen og forebygger at ryggen bliver krum.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 17. jun. 2026 37 mødegange,18.50,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19797871
Andet motionstilbud Bevægelse i varmt vand,Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Tor. 21. aug. 2025 til tor. 7. maj 2026 33 mødegange,15.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868566
Andet motionstilbud Bevægelse i varmt vand,Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Fre. 22. aug. 2025 til fre. 8. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19868511
Undervisning Rygtræning for smerteplagede,Rygtræning for smerteplagede,"Træningen består i mobiliserende, styrkende og stabiliserende øvelser baseret på seneste forskning indenfor ryglidelser - og er særligt tilrettelagt til den enkelte deltagers mere alvorlige fysiske ryglidelser.

  Arrangeret af FOF Sydjylland.",Tor. 28. aug. 2025 til tor. 30. apr. 2026 30 mødegange,18.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19351409
Omvisning Offentlig rundvisning i Koldinghus' historie,Offentlig rundvisning i Koldinghus' historie,"Tag med på en spændende tur rundt på slottet med en erfaren guide, der levende og engageret fortæller om slottets mere end 750 års historie. Fra borg til kongeslot og fra storhed til ruin.",Fre. 29. 2025 til fre. 30. aug. 2030 13:00-14:00,13:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19097447
