exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-02-07,Mazantigade v Kolding Busterminal,06:55:00,06:57:00,Albuen 40 (Kolding),157427732
2026-02-07,Mazantigade v Kolding Busterminal,07:00:00,07:00:00,Drejensvej v Agerøvej (Kolding),157430783
2026-02-07,Mazantigade v Kolding Busterminal,07:00:00,07:02:00,Højhusene (Kolding),157427625
2026-02-07,Mazantigade v Kolding Busterminal,07:08:00,07:08:00,Munkevænget v Munkevængets Skole,157430187
2026-02-07,Kolding Busterminal,07:10:00,07:10:00,Knud Hansens Vej (Kolding),157431872
2026-02-07,Kolding Busterminal,07:10:00,07:10:00,Vejle Trafikcenter,157425130
2026-02-07,Mazantigade v Kolding Busterminal,07:13:00,07:13:00,Knud Hansens Vej (Kolding),157429817
2026-02-07,Mazantigade v Kolding Busterminal,07:13:00,07:13:00,Nørregyde v Julivænget (Kolding),157429654
2026-02-07,Kolding Busterminal,07:20:00,07:20:00,Billund Lufthavn / Billund Airport (bus),157426855
2026-02-07,Mazantigade v Kolding Busterminal,07:25:00,07:27:00,Albuen 40 (Kolding),157427753
2026-02-07,Mazantigade v Kolding Busterminal,07:30:00,07:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430897
2026-02-07,Mazantigade v Kolding Busterminal,07:30:00,07:32:00,Højhusene (Kolding),157427628
2026-02-07,Mazantigade v Kolding Busterminal,07:37:00,07:37:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430118
2026-02-07,Mazantigade v Kolding Busterminal,07:43:00,07:43:00,Knud Hansens Vej (Kolding),157429857
2026-02-07,Mazantigade v Kolding Busterminal,07:43:00,07:43:00,Nørregyde v Julivænget (Kolding),157429667
2026-02-07,Kolding Busterminal,07:43:00,07:43:00,Kolding Busterminal,157425183
2026-02-07,Kolding Busterminal,07:47:00,07:47:00,Kolding Busterminal,157426242
2026-02-07,Kolding Busterminal,07:47:00,07:49:00,Vejle,157432999
2026-02-07,Kolding Busterminal,07:52:00,07:52:00,Kolding Busterminal,157431815
2026-02-07,Mazantigade v Kolding Busterminal,07:55:00,07:57:00,Albuen 40 (Kolding),157427731
2026-02-07,Mazantigade v Kolding Busterminal,08:00:00,08:00:00,Drejensvej v Agerøvej (Kolding),157430776
2026-02-07,Mazantigade v Kolding Busterminal,08:00:00,08:02:00,Højhusene (Kolding),157427599
2026-02-07,Mazantigade v Kolding Busterminal,08:08:00,08:08:00,Munkevænget v Munkevængets Skole,157430173
2026-02-07,Kolding Busterminal,08:10:00,08:10:00,Knud Hansens Vej (Kolding),157431839
2026-02-07,Kolding Busterminal,08:10:00,08:10:00,Haderslev Busstation,157426194
2026-02-07,Kolding Busterminal,08:10:00,08:10:00,Vejle Trafikcenter,157425120
2026-02-07,Mazantigade v Kolding Busterminal,08:13:00,08:13:00,Knud Hansens Vej (Kolding),157429824
2026-02-07,Mazantigade v Kolding Busterminal,08:13:00,08:13:00,Nørregyde v Julivænget (Kolding),157429644
2026-02-07,Mazantigade v Kolding Busterminal,08:25:00,08:27:00,Albuen 40 (Kolding),157427719
2026-02-07,Mazantigade v Kolding Busterminal,08:30:00,08:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430903
2026-02-07,Mazantigade v Kolding Busterminal,08:30:00,08:32:00,Højhusene (Kolding),157427596
2026-02-07,Mazantigade v Kolding Busterminal,08:37:00,08:37:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430126
2026-02-07,Kolding Busterminal,08:42:00,08:42:00,Kolding Busterminal,157426245
2026-02-07,Mazantigade v Kolding Busterminal,08:43:00,08:43:00,Knud Hansens Vej (Kolding),157429827
2026-02-07,Mazantigade v Kolding Busterminal,08:43:00,08:43:00,Nørregyde v Julivænget (Kolding),157429632
2026-02-07,Kolding Busterminal,08:43:00,08:43:00,Kolding Busterminal,157425206
2026-02-07,Kolding Busterminal,08:52:00,08:52:00,Kolding Busterminal,157431804
2026-02-07,Mazantigade v Kolding Busterminal,08:55:00,08:57:00,Albuen 40 (Kolding),157427749
2026-02-07,Kolding Busterminal,09:00:00,09:00:00,"Hejlsminde, Havnevej v Lystbådehavn",157429022
2026-02-07,Mazantigade v Kolding Busterminal,09:00:00,09:00:00,Drejensvej v Agerøvej (Kolding),157430775
2026-02-07,Kolding Busterminal,09:00:00,09:00:00,Sønder Stenderup,157428966
2026-02-07,Mazantigade v Kolding Busterminal,09:00:00,09:02:00,Højhusene (Kolding),157427597
2026-02-07,Kolding Busterminal,09:05:00,09:05:00,Haderslev Busstation,157426197
2026-02-07,Mazantigade v Kolding Busterminal,09:08:00,09:08:00,Munkevænget v Munkevængets Skole,157430185
2026-02-07,Kolding Busterminal,09:10:00,09:10:00,Knud Hansens Vej (Kolding),157431876
2026-02-07,Kolding Busterminal,09:08:00,09:10:00,Sønderborg,157433025
2026-02-07,Mazantigade v Kolding Busterminal,09:10:00,09:10:00,Sønder Stenderup,157428966
2026-02-07,Kolding Busterminal,09:10:00,09:10:00,Vejle Trafikcenter,157425131
2026-02-07,Mazantigade v Kolding Busterminal,09:13:00,09:13:00,Knud Hansens Vej (Kolding),157429849
2026-02-07,Mazantigade v Kolding Busterminal,09:13:00,09:13:00,Nørregyde v Julivænget (Kolding),157429630
2026-02-07,Kolding Busterminal,09:20:00,09:20:00,Billund Lufthavn / Billund Airport (bus),157426850
2026-02-07,Mazantigade v Kolding Busterminal,09:26:00,09:28:00,Albuen 40 (Kolding),157427781
2026-02-07,Mazantigade v Kolding Busterminal,09:30:00,09:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430884
2026-02-07,Mazantigade v Kolding Busterminal,09:31:00,09:33:00,Højhusene (Kolding),157427683
2026-02-07,Mazantigade v Kolding Busterminal,09:38:00,09:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430152
2026-02-07,Kolding Busterminal,09:38:00,09:38:00,Kolding Busterminal,157426831
2026-02-07,Kolding Busterminal,09:42:00,09:42:00,Kolding Busterminal,157426244
2026-02-07,Kolding Busterminal,09:43:00,09:43:00,Kolding Busterminal,157425171
2026-02-07,Mazantigade v Kolding Busterminal,09:44:00,09:44:00,Nørregyde v Julivænget (Kolding),157429746
2026-02-07,Mazantigade v Kolding Busterminal,09:45:00,09:45:00,Knud Hansens Vej (Kolding),157429752
2026-02-07,Kolding Busterminal,09:47:00,09:49:00,Vejle,157432979
2026-02-07,Kolding Busterminal,09:52:00,09:52:00,Kolding Busterminal,157431799
2026-02-07,Mazantigade v Kolding Busterminal,09:56:00,09:58:00,Albuen 40 (Kolding),157427809
2026-02-07,Mazantigade v Kolding Busterminal,10:00:00,10:00:00,Drejensvej v Agerøvej (Kolding),157430774
2026-02-07,Mazantigade v Kolding Busterminal,10:01:00,10:03:00,Højhusene (Kolding),157427684
2026-02-07,Kolding Busterminal,10:04:00,10:04:00,Kolding Busterminal,157428935
2026-02-07,Kolding Busterminal,10:05:00,10:05:00,Haderslev Busstation,157426198
2026-02-07,Kolding Busterminal,10:06:00,10:06:00,Kolding Busterminal,157429012
2026-02-07,Mazantigade v Kolding Busterminal,10:09:00,10:09:00,Munkevænget v Munkevængets Skole,157430201
2026-02-07,Kolding Busterminal,10:10:00,10:10:00,Knud Hansens Vej (Kolding),157431874
2026-02-07,Kolding Busterminal,10:10:00,10:10:00,Vejle Trafikcenter,157425110
2026-02-07,Mazantigade v Kolding Busterminal,10:14:00,10:14:00,Nørregyde v Julivænget (Kolding),157429727
2026-02-07,Mazantigade v Kolding Busterminal,10:15:00,10:15:00,Knud Hansens Vej (Kolding),157429784
2026-02-07,Mazantigade v Kolding Busterminal,10:26:00,10:28:00,Albuen 40 (Kolding),157427841
2026-02-07,Mazantigade v Kolding Busterminal,10:30:00,10:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430895
2026-02-07,Mazantigade v Kolding Busterminal,10:31:00,10:33:00,Højhusene (Kolding),157427680
2026-02-07,Mazantigade v Kolding Busterminal,10:38:00,10:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430151
2026-02-07,Kolding Busterminal,10:43:00,10:43:00,Kolding Busterminal,157425205
2026-02-07,Mazantigade v Kolding Busterminal,10:44:00,10:44:00,Nørregyde v Julivænget (Kolding),157429725
2026-02-07,Mazantigade v Kolding Busterminal,10:45:00,10:45:00,Knud Hansens Vej (Kolding),157429789
2026-02-07,Kolding Busterminal,10:46:00,10:46:00,Kolding Busterminal,157426257
2026-02-07,Kolding Busterminal,10:52:00,10:52:00,Kolding Busterminal,157431760
2026-02-07,Mazantigade v Kolding Busterminal,10:56:00,10:58:00,Albuen 40 (Kolding),157427818
2026-02-07,Mazantigade v Kolding Busterminal,11:00:00,11:00:00,Drejensvej v Agerøvej (Kolding),157430802
2026-02-07,Mazantigade v Kolding Busterminal,11:01:00,11:03:00,Højhusene (Kolding),157427644
2026-02-07,Kolding Busterminal,11:05:00,11:05:00,Haderslev Busstation,157426220
2026-02-07,Mazantigade v Kolding Busterminal,11:09:00,11:09:00,Munkevænget v Munkevængets Skole,157430213
2026-02-07,Kolding Busterminal,11:10:00,11:10:00,Knud Hansens Vej (Kolding),157431882
2026-02-07,Kolding Busterminal,11:08:00,11:10:00,Sønderborg,157433016
2026-02-07,Kolding Busterminal,11:10:00,11:10:00,Vejle Trafikcenter,157425124
2026-02-07,Mazantigade v Kolding Busterminal,11:14:00,11:14:00,Nørregyde v Julivænget (Kolding),157429729
2026-02-07,Mazantigade v Kolding Busterminal,11:15:00,11:15:00,Knud Hansens Vej (Kolding),157429765
2026-02-07,Kolding Busterminal,11:20:00,11:20:00,Billund Lufthavn / Billund Airport (bus),157426856
2026-02-07,Mazantigade v Kolding Busterminal,11:26:00,11:28:00,Albuen 40 (Kolding),157427828
2026-02-07,Mazantigade v Kolding Busterminal,11:30:00,11:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430894
2026-02-07,Mazantigade v Kolding Busterminal,11:31:00,11:33:00,Højhusene (Kolding),157427676
2026-02-07,Mazantigade v Kolding Busterminal,11:38:00,11:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430168
2026-02-07,Kolding Busterminal,11:38:00,11:38:00,Kolding Busterminal,157426840
2026-02-07,Kolding Busterminal,11:43:00,11:43:00,Kolding Busterminal,157425191
2026-02-07,Mazantigade v Kolding Busterminal,11:44:00,11:44:00,Nørregyde v Julivænget (Kolding),157429719
2026-02-07,Mazantigade v Kolding Busterminal,11:45:00,11:45:00,Knud Hansens Vej (Kolding),157429774
2026-02-07,Kolding Busterminal,11:46:00,11:46:00,Kolding Busterminal,157426258
2026-02-07,Kolding Busterminal,11:47:00,11:49:00,Vejle,157432987
2026-02-07,Kolding Busterminal,11:52:00,11:52:00,Kolding Busterminal,157431768
2026-02-07,Mazantigade v Kolding Busterminal,11:56:00,11:58:00,Albuen 40 (Kolding),157427810
2026-02-07,Mazantigade v Kolding Busterminal,12:00:00,12:00:00,Drejensvej v Agerøvej (Kolding),157430804
2026-02-07,Mazantigade v Kolding Busterminal,12:01:00,12:03:00,Højhusene (Kolding),157427690
2026-02-07,Kolding Busterminal,12:05:00,12:05:00,Haderslev Busstation,157426225
2026-02-07,Mazantigade v Kolding Busterminal,12:09:00,12:09:00,Munkevænget v Munkevængets Skole,157430217
2026-02-07,Kolding Busterminal,12:10:00,12:10:00,Knud Hansens Vej (Kolding),157431820
2026-02-07,Kolding Busterminal,12:10:00,12:10:00,Vejle Trafikcenter,157425117
2026-02-07,Mazantigade v Kolding Busterminal,12:14:00,12:14:00,Nørregyde v Julivænget (Kolding),157429716
2026-02-07,Mazantigade v Kolding Busterminal,12:15:00,12:15:00,Knud Hansens Vej (Kolding),157429760
2026-02-07,Mazantigade v Kolding Busterminal,12:26:00,12:28:00,Albuen 40 (Kolding),157427844
2026-02-07,Mazantigade v Kolding Busterminal,12:30:00,12:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430912
2026-02-07,Mazantigade v Kolding Busterminal,12:31:00,12:33:00,Højhusene (Kolding),157427694
2026-02-07,Mazantigade v Kolding Busterminal,12:38:00,12:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430143
2026-02-07,Kolding Busterminal,12:43:00,12:43:00,Kolding Busterminal,157425208
2026-02-07,Mazantigade v Kolding Busterminal,12:44:00,12:44:00,Nørregyde v Julivænget (Kolding),157429691
2026-02-07,Mazantigade v Kolding Busterminal,12:45:00,12:45:00,Knud Hansens Vej (Kolding),157429780
2026-02-07,Kolding Busterminal,12:46:00,12:46:00,Kolding Busterminal,157426267
2026-02-07,Kolding Busterminal,12:52:00,12:52:00,Kolding Busterminal,157431817
2026-02-07,Mazantigade v Kolding Busterminal,12:56:00,12:58:00,Albuen 40 (Kolding),157427800
2026-02-07,Kolding Busterminal,13:00:00,13:00:00,"Hejlsminde, Havnevej v Lystbådehavn",157429027
2026-02-07,Mazantigade v Kolding Busterminal,13:00:00,13:00:00,Drejensvej v Agerøvej (Kolding),157430805
2026-02-07,Kolding Busterminal,13:00:00,13:00:00,Sønder Stenderup,157428960
2026-02-07,Mazantigade v Kolding Busterminal,13:01:00,13:03:00,Højhusene (Kolding),157427689
2026-02-07,Kolding Busterminal,13:05:00,13:05:00,Haderslev Busstation,157426224
2026-02-07,Mazantigade v Kolding Busterminal,13:09:00,13:09:00,Munkevænget v Munkevængets Skole,157430204
2026-02-07,Kolding Busterminal,13:10:00,13:10:00,Knud Hansens Vej (Kolding),157431857
2026-02-07,Kolding Busterminal,13:08:00,13:10:00,Sønderborg,157433019
2026-02-07,Mazantigade v Kolding Busterminal,13:10:00,13:10:00,Sønder Stenderup,157428960
2026-02-07,Kolding Busterminal,13:10:00,13:10:00,Vejle Trafikcenter,157425109
2026-02-07,Mazantigade v Kolding Busterminal,13:14:00,13:14:00,Nørregyde v Julivænget (Kolding),157429703
2026-02-07,Mazantigade v Kolding Busterminal,13:15:00,13:15:00,Knud Hansens Vej (Kolding),157429759
2026-02-07,Mazantigade v Kolding Busterminal,13:26:00,13:28:00,Albuen 40 (Kolding),157427822
2026-02-07,Mazantigade v Kolding Busterminal,13:30:00,13:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430917
2026-02-07,Mazantigade v Kolding Busterminal,13:31:00,13:33:00,Højhusene (Kolding),157427679
2026-02-07,Mazantigade v Kolding Busterminal,13:38:00,13:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430154
2026-02-07,Kolding Busterminal,13:38:00,13:38:00,Kolding Busterminal,157426837
2026-02-07,Kolding Busterminal,13:43:00,13:43:00,Kolding Busterminal,157425190
2026-02-07,Mazantigade v Kolding Busterminal,13:44:00,13:44:00,Nørregyde v Julivænget (Kolding),157429740
2026-02-07,Mazantigade v Kolding Busterminal,13:45:00,13:45:00,Knud Hansens Vej (Kolding),157429757
2026-02-07,Kolding Busterminal,13:46:00,13:46:00,Kolding Busterminal,157426259
2026-02-07,Kolding Busterminal,13:47:00,13:49:00,Vejle,157432975
2026-02-07,Kolding Busterminal,13:52:00,13:52:00,Kolding Busterminal,157431759
2026-02-07,Mazantigade v Kolding Busterminal,13:56:00,13:58:00,Albuen 40 (Kolding),157427790
2026-02-07,Mazantigade v Kolding Busterminal,14:00:00,14:00:00,Drejensvej v Agerøvej (Kolding),157430788
2026-02-07,Mazantigade v Kolding Busterminal,14:01:00,14:03:00,Højhusene (Kolding),157427670
2026-02-07,Kolding Busterminal,14:04:00,14:04:00,Kolding Busterminal,157428941
2026-02-07,Kolding Busterminal,14:05:00,14:05:00,Haderslev Busstation,157426226
2026-02-07,Kolding Busterminal,14:06:00,14:06:00,Kolding Busterminal,157429010
2026-02-07,Mazantigade v Kolding Busterminal,14:09:00,14:09:00,Munkevænget v Munkevængets Skole,157430194
2026-02-07,Kolding Busterminal,14:10:00,14:10:00,Knud Hansens Vej (Kolding),157431867
2026-02-07,Kolding Busterminal,14:10:00,14:10:00,Vejle Trafikcenter,157425122
2026-02-07,Mazantigade v Kolding Busterminal,14:14:00,14:14:00,Nørregyde v Julivænget (Kolding),157429704
2026-02-07,Mazantigade v Kolding Busterminal,14:15:00,14:15:00,Knud Hansens Vej (Kolding),157429810
2026-02-07,Kolding Busterminal,14:20:00,14:20:00,Billund Lufthavn / Billund Airport (bus),157426848
2026-02-07,Mazantigade v Kolding Busterminal,14:26:00,14:28:00,Albuen 40 (Kolding),157427839
2026-02-07,Mazantigade v Kolding Busterminal,14:30:00,14:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430914
2026-02-07,Mazantigade v Kolding Busterminal,14:31:00,14:33:00,Højhusene (Kolding),157427681
2026-02-07,Mazantigade v Kolding Busterminal,14:38:00,14:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430146
2026-02-07,Kolding Busterminal,14:43:00,14:43:00,Kolding Busterminal,157425196
2026-02-07,Mazantigade v Kolding Busterminal,14:44:00,14:44:00,Nørregyde v Julivænget (Kolding),157429741
2026-02-07,Mazantigade v Kolding Busterminal,14:45:00,14:45:00,Knud Hansens Vej (Kolding),157429773
2026-02-07,Kolding Busterminal,14:46:00,14:46:00,Kolding Busterminal,157426260
2026-02-07,Kolding Busterminal,14:52:00,14:52:00,Kolding Busterminal,157431761
2026-02-07,Mazantigade v Kolding Busterminal,14:56:00,14:58:00,Albuen 40 (Kolding),157427794
2026-02-07,Mazantigade v Kolding Busterminal,15:00:00,15:00:00,Drejensvej v Agerøvej (Kolding),157430798
2026-02-07,Mazantigade v Kolding Busterminal,15:01:00,15:03:00,Højhusene (Kolding),157427658
2026-02-07,Kolding Busterminal,15:05:00,15:05:00,Haderslev Busstation,157426223
2026-02-07,Mazantigade v Kolding Busterminal,15:09:00,15:09:00,Munkevænget v Munkevængets Skole,157430219
2026-02-07,Kolding Busterminal,15:10:00,15:10:00,Knud Hansens Vej (Kolding),157431847
2026-02-07,Kolding Busterminal,15:08:00,15:10:00,Sønderborg,157433010
2026-02-07,Kolding Busterminal,15:10:00,15:10:00,Vejle Trafikcenter,157425134
2026-02-07,Mazantigade v Kolding Busterminal,15:14:00,15:14:00,Nørregyde v Julivænget (Kolding),157429734
2026-02-07,Mazantigade v Kolding Busterminal,15:15:00,15:15:00,Knud Hansens Vej (Kolding),157429768
2026-02-07,Mazantigade v Kolding Busterminal,15:26:00,15:28:00,Albuen 40 (Kolding),157427842
2026-02-07,Mazantigade v Kolding Busterminal,15:30:00,15:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430890
2026-02-07,Mazantigade v Kolding Busterminal,15:31:00,15:33:00,Højhusene (Kolding),157427674
2026-02-07,Mazantigade v Kolding Busterminal,15:38:00,15:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430166
2026-02-07,Kolding Busterminal,15:43:00,15:43:00,Kolding Busterminal,157425193
2026-02-07,Mazantigade v Kolding Busterminal,15:44:00,15:44:00,Nørregyde v Julivænget (Kolding),157429749
2026-02-07,Mazantigade v Kolding Busterminal,15:45:00,15:45:00,Knud Hansens Vej (Kolding),157429772
2026-02-07,Kolding Busterminal,15:46:00,15:46:00,Kolding Busterminal,157426265
2026-02-07,Kolding Busterminal,15:47:00,15:49:00,Vejle,157432991
2026-02-07,Kolding Busterminal,15:52:00,15:52:00,Kolding Busterminal,157431762
2026-02-07,Mazantigade v Kolding Busterminal,15:56:00,15:58:00,Albuen 40 (Kolding),157427813
2026-02-07,Kolding Busterminal,16:00:00,16:00:00,"Hejlsminde, Havnevej v Lystbådehavn",157429028
2026-02-07,Mazantigade v Kolding Busterminal,16:00:00,16:00:00,Drejensvej v Agerøvej (Kolding),157430790
2026-02-07,Kolding Busterminal,16:00:00,16:00:00,Sønder Stenderup,157428955
2026-02-07,Mazantigade v Kolding Busterminal,16:01:00,16:03:00,Højhusene (Kolding),157427661
2026-02-07,Kolding Busterminal,16:05:00,16:05:00,Haderslev Busstation,157426219
2026-02-07,Mazantigade v Kolding Busterminal,16:09:00,16:09:00,Munkevænget v Munkevængets Skole,157430205
2026-02-07,Kolding Busterminal,16:10:00,16:10:00,Knud Hansens Vej (Kolding),157431859
2026-02-07,Mazantigade v Kolding Busterminal,16:10:00,16:10:00,Sønder Stenderup,157428955
2026-02-07,Kolding Busterminal,16:10:00,16:10:00,Vejle Trafikcenter,157425126
2026-02-07,Mazantigade v Kolding Busterminal,16:14:00,16:14:00,Nørregyde v Julivænget (Kolding),157429731
2026-02-07,Mazantigade v Kolding Busterminal,16:15:00,16:15:00,Knud Hansens Vej (Kolding),157429769
2026-02-07,Mazantigade v Kolding Busterminal,16:26:00,16:28:00,Albuen 40 (Kolding),157427825
2026-02-07,Mazantigade v Kolding Busterminal,16:30:00,16:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430885
2026-02-07,Mazantigade v Kolding Busterminal,16:31:00,16:33:00,Højhusene (Kolding),157427645
2026-02-07,Mazantigade v Kolding Busterminal,16:38:00,16:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430148
2026-02-07,Kolding Busterminal,16:38:00,16:38:00,Kolding Busterminal,157426839
2026-02-07,Kolding Busterminal,16:43:00,16:43:00,Kolding Busterminal,157425179
2026-02-07,Mazantigade v Kolding Busterminal,16:44:00,16:44:00,Nørregyde v Julivænget (Kolding),157429732
2026-02-07,Mazantigade v Kolding Busterminal,16:45:00,16:45:00,Knud Hansens Vej (Kolding),157429809
2026-02-07,Kolding Busterminal,16:52:00,16:52:00,Kolding Busterminal,157431809
2026-02-07,Mazantigade v Kolding Busterminal,16:56:00,16:58:00,Albuen 40 (Kolding),157427833
2026-02-07,Mazantigade v Kolding Busterminal,17:00:00,17:00:00,Drejensvej v Agerøvej (Kolding),157430794
2026-02-07,Mazantigade v Kolding Busterminal,17:01:00,17:03:00,Højhusene (Kolding),157427673
2026-02-07,Kolding Busterminal,17:04:00,17:04:00,Kolding Busterminal,157428937
2026-02-07,Kolding Busterminal,17:06:00,17:06:00,Kolding Busterminal,157429016
2026-02-07,Mazantigade v Kolding Busterminal,17:09:00,17:09:00,Munkevænget v Munkevængets Skole,157430203
2026-02-07,Kolding Busterminal,17:10:00,17:10:00,Knud Hansens Vej (Kolding),157431861
2026-02-07,Kolding Busterminal,17:08:00,17:10:00,Sønderborg,157433011
2026-02-07,Kolding Busterminal,17:10:00,17:10:00,Vejle Trafikcenter,157425127
2026-02-07,Mazantigade v Kolding Busterminal,17:14:00,17:14:00,Nørregyde v Julivænget (Kolding),157429736
2026-02-07,Mazantigade v Kolding Busterminal,17:15:00,17:15:00,Knud Hansens Vej (Kolding),157429786
2026-02-07,Kolding Busterminal,17:20:00,17:20:00,Billund Lufthavn / Billund Airport (bus),157426852
2026-02-07,Mazantigade v Kolding Busterminal,17:26:00,17:28:00,Albuen 40 (Kolding),157427799
2026-02-07,Mazantigade v Kolding Busterminal,17:30:00,17:30:00,"Vonsild, Lykkeshave v Christiansmindeallé",157430907
2026-02-07,Mazantigade v Kolding Busterminal,17:31:00,17:33:00,Højhusene (Kolding),157427693
2026-02-07,Mazantigade v Kolding Busterminal,17:37:00,17:37:00,Ankerhusvej v Dalbygårdsvej (Kolding),157430129
2026-02-07,Mazantigade v Kolding Busterminal,17:43:00,17:43:00,Knud Hansens Vej (Kolding),157429820
2026-02-07,Mazantigade v Kolding Busterminal,17:43:00,17:43:00,Nørregyde v Julivænget (Kolding),157429625
2026-02-07,Kolding Busterminal,17:43:00,17:43:00,Kolding Busterminal,157425188
2026-02-07,Kolding Busterminal,17:46:00,17:46:00,Kolding Busterminal,157426268
2026-02-07,Kolding Busterminal,17:47:00,17:49:00,Vejle,157432981
2026-02-07,Kolding Busterminal,17:52:00,17:52:00,Kolding Busterminal,157431812
2026-02-07,Mazantigade v Kolding Busterminal,17:56:00,17:58:00,Albuen 40 (Kolding),157427806
